price,address,bedrooms,bathrooms,postal_code
"$

$2,749,995
            
        
        
            
            
        
    

",77 St Georges Blvd,Not listed,Not listed,M9R 1X5
"$

$2,649,000
            
        
        
            
            
        
    

",47 Soudan Ave,Not listed,Not listed,M4S 1V5
"$

$2,599,999
            
        
        
            
            
        
    

",91 Parkmount Road,Not listed,Not listed,M4J 4V3
"$

$2,399,000
            
        
        
            
            
        
    

",135 Cameron Ave,Not listed,Not listed,M2N 1E4
"$

$2,299,999
            
        
        
            
            
        
    

",100 Lake Cres N,Not listed,Not listed,M8V 1W1
"$$1,988,800",11 Olsen Dr,Not listed,Not listed,M3A 3J1
"$$1,888,000",148 Betty Ann Dr,Not listed,Not listed,M2N 1X4
"$$1,599,000",29b Stafford St,Not listed,Not listed,M5V 2S2
"$$1,539,000",11 Squires Ave,Not listed,Not listed,M4B 2R2
"$$1,500,000",29 Wesley St,Not listed,Not listed,M8Y 2W5
"$$1,400,000",#Rd -23 Denvale Rd,Not listed,Not listed,M4B 3B3
"$$1,399,000",29 Highview Ave,Not listed,Not listed,M3M 1C5
"$$1,369,999",72 Vanevery St,Not listed,Not listed,M8V 1Y6
"$$1,200,000",#Ph111 -87 Peter St,Not listed,Not listed,M5V 0P1
"$$1,200,000",68 Paulart Dr,Not listed,Not listed,M9B 3V9
"$$1,199,000",26 Valifor Pl,Not listed,Not listed,M4J 4Z7
"$$1,185,000",#1012 -10 Capreol Crt,Not listed,Not listed,M5V 4B3
"$$1,180,000",#4604 -88 Harbour St,Not listed,Not listed,M5J 0C3
"$$1,149,000",#3315 -5168 Yonge St,Not listed,Not listed,M2N 0G1
"$$1,100,000",56 First Ave,Not listed,Not listed,M4M 1W8
"$$1,099,999",#305 -160 Frederick St,Not listed,Not listed,M5A 4H9
"$$1,099,000",50 Robbins Ave,Not listed,Not listed,M4L 1X2
"$$1,049,000",185 Sylvan Ave,Not listed,Not listed,M1E 1A4
"$$1,049,000",#Th10 -780 Sheppard Ave E,Not listed,Not listed,M2K 0E8
"$$999,000",#516 -11 William Carson Cres,Not listed,Not listed,M2P 2G1
"$$978,000",#26 -21 Replin Rd,Not listed,Not listed,M6A 2M8
"$$949,900",#11 -375 Cook Rd,Not listed,Not listed,M3J 3T6
"$$899,999",121 Driftwood Avenue,Not listed,Not listed,M3N 2M9
"$$889,500",5 Hapley Dr,Not listed,Not listed,M1G 3L4
"$$888,888",28 Stillbrook Crt,Not listed,Not listed,M1E 3W7
"$$888,000",#1002 -50 Forest Manor Rd,Not listed,Not listed,M2J 0E3
"$$880,000",#2111 -188 Cumberland St,Not listed,Not listed,M5R 0B6
"$$850,000",#707 -20 Bruyeres Mews,Not listed,Not listed,M5V 0G8
"$$849,900",105-955 Millwood Road,Not listed,Not listed,M4G 4E3
"$$838,000",#804 -2240 Lakeshore Blvd W,Not listed,Not listed,M8V 0B1
"$$799,900",2601-8 Park Rd,Not listed,Not listed,M4W 3S5
"$$799,000",#1101 -131 Torresdale Ave,Not listed,Not listed,M2R 3T1
"$$799,000",#2101 -290 Adelaide St W,Not listed,Not listed,M5V 1P6
"$$799,000",295 Burrows Hall Blvd,Not listed,Not listed,M1B 1J8
"$$794,888",#1904 -16 Brookers Lane,Not listed,Not listed,M8V 0A5
"$$788,800",#D82 -80 Nashdene Rd,Not listed,Not listed,M1V 5E4
"$$779,777",#409 -16 Mcadam Ave,Not listed,Not listed,M6A 0B9
"$$775,000",#710 -360 Bloor St E,Not listed,Not listed,M4W 3M3
"$$749,000",#201 -20 Forest Manor Rd,Not listed,Not listed,M2J 1M2
"$$749,000",#M6 -539 Jarvis St,Not listed,Not listed,M4Y 2H7
"$$738,000",#3108 -2221 Yonge St,Not listed,Not listed,M4S 2B4
"$$735,000",53 Templeton Crt,Not listed,Not listed,M1E 2C3
"$$729,000",#703 -87 Peter St,Not listed,Not listed,M5V 0P1
"$$709,000",#7 -38 Gibson Ave,Not listed,Not listed,M9N 0A5
"$$699,000",45 English Ivy Way,Not listed,Not listed,M2H 3M3
"$$699,000",#1201 -2015 Sheppard Ave E,Not listed,Not listed,M2J 0B3
